frame,x,y,speed_kmh,cumulative_dist_m
0,79.802956,23.254715,0.0,0.0
1,78.870636,23.027481,86.36508,0.959612
2,77.705246,22.74344,107.95547,2.1591172
3,76.30677,22.402592,129.54724,3.598531
4,74.67522,22.004936,151.1383,5.2778454
5,73.04367,21.607279,151.13768,6.957153
6,71.41212,21.209623,151.1383,8.636467
7,69.78057,20.811966,151.13768,10.315775
8,68.14902,20.41431,151.1383,11.99509
9,66.51747,20.016655,151.13763,13.6743965
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,46.439537,15.496426,,
23,45.224567,15.182299,112.942894,
24,44.038452,14.8601,110.618805,
25,42.878376,14.505804,109.16751,
26,41.75215,14.142408,106.506096,
27,40.43925,13.942133,119.52794,
28,38.9354,13.897734,135.40573,
29,37.240593,14.009212,152.86208,
30,35.354843,14.276567,171.41472,
31,33.271248,14.647013,190.46431,
32,30.987871,15.133384,210.11417,
33,28.496902,15.712687,230.1699,
34,26.005932,16.291988,230.17004,
35,23.514965,16.87129,230.16974,
36,21.023993,17.45059,230.17018,
37,18.533024,18.029892,230.16989,
38,16.042053,18.609194,230.17004,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,-2.0479345,21.16656,,
56,3.546596,19.315609,530.3497,
57,9.141127,17.464657,530.34973,
58,13.910053,15.884827,452.1416,
59,17.814568,14.579088,370.5354,
60,20.919863,13.537769,294.7717,
61,23.225939,12.760872,219.00824,
62,24.732796,12.248396,143.24567,
