frame_idx,t_s,type,team_id,from_player,to_player,note
31,1.24,possession_start,1,,18,
32,1.28,touch,1,18.0,18,
33,1.32,touch,1,18.0,18,
34,1.36,touch,1,18.0,18,
35,1.4,touch,1,18.0,18,
36,1.44,touch,1,18.0,18,
37,1.48,touch,1,18.0,18,
38,1.52,touch,1,18.0,18,
39,1.56,touch,1,18.0,18,
40,1.6,touch,1,18.0,18,
41,1.64,touch,1,18.0,18,
42,1.68,touch,1,18.0,18,
43,1.72,touch,1,18.0,18,
44,1.76,touch,1,18.0,18,
45,1.8,touch,1,18.0,18,
46,1.84,touch,1,18.0,18,
47,1.88,touch,1,18.0,18,
48,1.92,touch,1,18.0,18,
49,1.96,touch,1,18.0,18,
50,2.0,touch,1,18.0,18,
51,2.04,touch,1,18.0,18,
52,2.08,pass,1,18.0,17,
53,2.12,touch,1,17.0,17,
54,2.16,touch,1,17.0,17,
55,2.2,touch,1,17.0,17,
56,2.24,touch,1,17.0,17,
57,2.28,touch,1,17.0,17,
58,2.32,touch,1,17.0,17,
59,2.36,touch,1,17.0,17,
60,2.4,touch,1,17.0,17,
61,2.44,touch,1,17.0,17,
62,2.48,touch,1,17.0,17,
