frame,t_s,team_in_possession,ball_third
0,0.0,,attacking
1,0.04,,attacking
2,0.08,,attacking
3,0.12,,attacking
4,0.16,,attacking
5,0.2,,attacking
6,0.24,,attacking
7,0.28,,middle
8,0.32,,middle
9,0.36,,middle
10,0.4,,middle
11,0.44,,middle
12,0.48,,middle
13,0.52,,middle
16,0.64,,middle
17,0.68,,middle
18,0.72,,middle
20,0.8,,middle
21,0.84,,middle
22,0.88,,middle
23,0.92,,middle
24,0.96,,middle
25,1.0,,middle
26,1.04,,middle
27,1.08,,middle
28,1.12,,middle
29,1.16,,middle
30,1.2,,middle
31,1.24,1.0,defensive
32,1.28,1.0,defensive
33,1.32,1.0,defensive
34,1.36,1.0,defensive
35,1.4,1.0,defensive
36,1.44,1.0,defensive
37,1.48,1.0,defensive
38,1.52,1.0,defensive
52,2.08,1.0,defensive
55,2.2,1.0,defensive
56,2.24,1.0,defensive
57,2.28,1.0,defensive
58,2.32,1.0,defensive
59,2.36,1.0,defensive
60,2.4,1.0,defensive
61,2.44,1.0,defensive
62,2.48,1.0,defensive
