frame,x,y,speed_kmh,cumulative_dist_m
0,,,0.0,0.0
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,50.232838,43.468338,,
13,47.566402,43.353123,240.2031,
14,44.899967,43.237904,240.20312,
15,42.233536,43.122684,240.20276,
16,39.5671,43.00746,240.20312,
17,36.900665,42.892242,240.20312,
18,34.234234,42.777023,240.20276,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,-46.60052,38.94842,,
51,-47.738297,38.943287,102.400826,
52,-48.86149,39.014267,101.28892,
53,-49.958923,39.181053,99.90329,
54,-51.040783,39.469166,100.76098,
55,-52.108036,39.84812,101.92821,
56,-53.156887,40.30442,102.942726,
57,-54.169815,40.831844,102.78138,
58,-55.168907,41.434372,105.00438,
59,-56.132706,42.08607,104.71063,
60,-57.091167,42.601936,97.962265,
61,-58.01747,42.954098,89.18889,
62,-58.925865,43.135517,83.36995,
63,-59.808502,43.186428,79.56937,
64,-60.68578,43.06288,79.73408,
65,-61.55596,42.80363,81.71819,
66,-62.41214,42.451527,83.31777,
67,-63.25105,42.15365,80.12022,
68,-64.078766,41.936394,77.01785,
69,-64.87336,41.835957,72.08247,
70,-65.66203,41.80871,71.02296,
71,-66.42749,41.86037,69.04787,
72,-67.1505,41.99762,66.232704,
73,-67.85077,42.243294,66.790436,
74,-68.505005,42.58316,66.35227,
75,-69.14856,42.994804,68.755135,
76,-69.79526,43.36973,67.27697,
77,-70.44086,43.6804,64.48132,
78,-71.0871,43.930553,62.367,
79,-71.75456,44.06282,61.239983,
80,-72.43583,44.129944,61.6109,
81,-73.13932,44.113186,63.33217,
82,-73.85087,43.997543,64.87955,
83,-74.57041,43.919445,65.13925,
84,-75.27091,43.909138,63.05187,
85,-75.96978,43.993557,63.355324,
86,-76.657715,44.150757,63.510044,
87,-77.40431,44.263622,67.957214,
88,-78.20891,44.38336,73.21112,
89,-79.07151,44.50999,78.46625,
90,-80.05129,44.599167,88.544876,
91,-81.16397,44.66508,100.31663,
92,-82.40313,44.672886,111.52648,
93,-83.77113,44.65943,123.126305,
94,-85.2044,44.65871,128.99393,
95,-86.70289,44.670727,134.8684,
96,-88.26662,44.695473,140.75316,
97,-89.830345,44.72022,140.75316,
98,-91.39407,44.74497,140.75317,
99,-92.95781,44.769714,140.75385,
100,-94.521545,44.794464,140.75385,
101,-96.08527,44.81921,140.75316,
102,-97.601685,44.85518,136.51537,
103,-99.07076,44.90236,132.28517,
104,-100.47415,44.949257,126.37553,
105,-101.81186,44.995876,120.46676,
106,-103.08388,45.042206,114.55756,
107,-104.29018,45.088245,108.645935,
108,-105.4308,45.13401,102.73884,
109,-106.53911,45.16593,99.78899,
110,-107.61509,45.184,96.85195,
111,-108.67712,45.199734,95.59292,
112,-109.72519,45.213123,94.33425,
113,-110.75438,45.209473,92.62769,
114,-111.75667,45.19216,90.21945,
115,-112.73204,45.16121,87.82769,
116,-113.68463,45.167675,85.73516,
117,-114.65188,45.168613,87.05228,
118,-115.63378,45.16403,88.372246,
119,-116.630325,45.15392,89.69356,
120,-117.64645,45.15299,91.45091,
121,-119.25153,45.22839,144.61716,
122,-121.44557,45.380135,197.93518,
123,-124.2384,45.559475,251.87253,
124,-127.592575,45.809364,302.71207,
125,-131.5081,46.129807,353.5756,
126,-135.985,46.520794,404.45456,
127,-141.02324,46.982338,455.34012,
128,-146.06148,47.44388,455.34012,
129,-151.09972,47.90542,455.34012,
130,-156.13797,48.36696,455.34146,
131,-161.1762,48.8285,455.33875,
132,-166.21443,49.29004,455.34012,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,-246.56189,56.83711,,
152,-246.46764,56.909935,10.719983,
153,-246.36945,56.992203,11.528899,
154,-246.26904,57.083714,12.22641,
155,-246.16647,57.184464,12.939695,
156,-246.0567,57.293167,13.9038515,
157,-245.94695,57.401875,13.903118,
158,-245.83719,57.510582,13.903118,
159,-245.72745,57.61929,13.9021435,
160,-245.62936,57.710354,12.045588,
161,-245.5344,57.79883,11.681685,
162,-245.44254,57.884716,11.318053,
163,-245.35379,57.968018,10.954461,
164,-245.27338,58.04277,9.881312,
165,-245.19337,58.114544,9.673109,
166,-245.12473,58.170837,7.990095,
167,-245.059,58.22104,7.442977,
168,-244.98021,58.284344,9.09685,
169,-244.90416,58.330097,7.987698,
170,-244.83585,58.367676,7.0170555,
171,-244.77002,58.40304,6.72528,
172,-244.71144,58.435722,6.037018,
173,-244.6492,58.47821,6.7824006,
174,-244.58002,58.538773,8.27516,
175,-244.52846,58.58315,6.1224084,
176,-244.4787,58.642006,6.9364796,
177,-244.42534,58.7035,7.327497,
178,-244.36835,58.767635,7.721943,
179,-244.31088,58.829327,7.5878024,
180,-244.25302,58.888565,7.452698,
181,-244.19469,58.94535,7.326851,
182,-244.1359,58.99969,7.2052794,
183,-244.07666,59.051575,7.086983,
184,-244.0478,59.098263,4.93964,
185,-244.02753,59.13907,4.101028,
186,-244.01585,59.17398,3.3130684,
187,-244.01279,59.203007,2.6268854,
188,-244.01831,59.226143,2.1407745,
189,-244.03246,59.243393,2.0077116,
190,-244.05519,59.254753,2.2874184,
191,-244.05615,59.26542,0.9638214,
192,-244.05713,59.27609,0.96428746,
193,-244.05814,59.28676,0.96454173,
194,-244.0591,59.297424,0.9638214,
195,-244.0601,59.30809,0.96419996,
196,-244.06107,59.318752,0.9634795,
197,-244.06204,59.329422,0.96428746,
198,-244.06305,59.340088,0.96419996,
199,-244.0724,59.346947,1.0438992,
200,-244.0901,59.349987,1.616347,
201,-244.11618,59.349216,2.3479786,
202,-244.15062,59.344635,3.1268237,
203,-244.1934,59.336235,3.9242172,
204,-244.24457,59.324028,4.7338934,
205,-244.3041,59.308006,5.5478745,
206,-244.36363,59.29198,5.54929,
207,-244.42316,59.27596,5.5478745,
208,-244.48267,59.259933,5.5466375,
209,-244.5422,59.24391,5.549201,
210,-244.60173,59.22789,5.5478745,
211,-244.66125,59.21187,5.5478745,
212,-244.72076,59.195847,5.546549,
213,-244.78032,59.179825,5.550527,
214,-244.83984,59.163803,5.5478745,
215,-244.89935,59.14778,5.546549,
216,-244.95891,59.131756,5.5506163,
217,-245.01843,59.11573,5.547964,
218,-245.07794,59.099705,5.5466375,
219,-245.13747,59.083683,5.5478745,
220,-245.197,59.067657,5.54929,
221,-245.25653,59.051636,5.5478745,
222,-245.31606,59.035614,5.5478745,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,-246.99953,58.50294,,
252,-247.01991,58.479572,2.7909884,
253,-247.03775,58.45853,2.4826586,
254,-247.0444,58.443993,1.4388974,
255,-247.04501,58.43367,0.930654,
256,-247.03957,58.427563,0.7365361,
257,-247.0239,58.42404,1.4455311,
258,-247.02414,58.41458,0.8517239,
259,-247.02963,58.397255,1.6358658,
260,-247.02518,58.38514,1.1617912,
261,-247.01447,58.370934,1.6012627,
262,-247.0006,58.356857,1.7785509,
263,-246.99176,58.330402,2.5102055,
264,-246.98795,58.291576,3.5111644,
265,-246.9827,58.243805,4.325307,
266,-246.96689,58.20635,3.6590137,
267,-246.96371,58.155426,4.5919085,
268,-246.97801,58.09417,5.661255,
269,-246.9855,58.039337,4.980774,
270,-246.98792,57.999332,3.6069577,
271,-246.98523,57.974167,2.2777603,
272,-246.98392,57.960403,1.244326,
273,-246.99341,57.94287,1.7942798,
274,-246.99669,57.937935,0.53342634,
275,-246.99379,57.94561,0.7384029,
276,-247.00073,57.949196,0.70326716,
277,-247.00769,57.952778,0.70433044,
278,-247.01468,57.956367,0.707087,
279,-247.02162,57.959953,0.70326716,
280,-247.02861,57.96354,0.7069301,
281,-247.03555,57.967125,0.70326716,
282,-247.04251,57.97071,0.70448756,
283,-247.0495,57.9743,0.707087,
284,-247.05644,57.97789,0.70342475,
285,-246.80505,57.81088,27.162855,
286,-246.29523,57.473274,55.03263,
287,-245.52704,56.965076,82.89672,
288,-244.50047,56.286285,110.76196,
289,-243.21548,55.4369,138.63065,
290,-241.67215,54.41692,166.4938,
291,-239.87039,53.226345,194.36247,
292,-238.06866,52.035774,194.35999,
293,-236.26694,50.8452,194.36018,
294,-234.4652,49.65462,194.36151,
295,-232.66348,48.464046,194.35904,
296,-230.86172,47.27347,194.36247,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,-242.77637,42.920815,,
329,-258.72464,50.4382,1586.8062,
330,-271.41974,56.450348,1264.2084,
331,-280.87134,60.954624,942.3014,
332,-287.08978,63.958206,621.5252,
333,-290.0751,65.4611,300.80505,
334,-289.83212,65.46863,21.878784,
335,-289.6262,65.52727,19.270687,
336,-289.44464,65.61663,18.211567,
337,-289.2879,65.72227,17.011187,
338,-289.14755,65.82833,15.832776,
339,-289.00888,65.93185,15.574258,
340,-288.873,66.0306,15.118905,
341,-288.7173,66.14101,17.178442,
342,-288.5544,66.261986,18.259884,
343,-287.554,65.88923,96.08537,
344,-285.71054,65.029526,183.06491,
345,-283.02277,63.701363,269.82217,
346,-279.4951,61.900536,356.46704,
347,-275.1263,59.629257,443.15198,
348,-269.93423,56.86578,529.35364,
349,-263.91367,53.606308,616.16425,
350,-261.67194,52.513866,224.43733,
351,-263.20908,53.58846,168.79616,
352,-265.5717,55.146744,254.72029,
