frame,t_s,team_in_possession,ball_third
9,0.36,,middle
11,0.44,,middle
12,0.48,,middle
13,0.52,,middle
14,0.56,,middle
15,0.6,,middle
16,0.64,,middle
17,0.68,,middle
18,0.72,,defensive
20,0.8,,defensive
22,0.88,,defensive
26,1.04,,defensive
27,1.08,,defensive
28,1.12,,defensive
29,1.16,,defensive
30,1.2,,defensive
31,1.24,,defensive
32,1.28,,defensive
38,1.52,,defensive
39,1.56,,defensive
40,1.6,,defensive
41,1.64,,defensive
43,1.72,,attacking
46,1.84,,defensive
47,1.88,,defensive
48,1.92,,defensive
50,2.0,,defensive
51,2.04,,defensive
52,2.08,,defensive
53,2.12,,defensive
54,2.16,,defensive
55,2.2,,defensive
56,2.24,,defensive
57,2.28,,defensive
58,2.32,,defensive
59,2.36,,defensive
60,2.4,,defensive
61,2.44,,defensive
62,2.48,,defensive
63,2.52,,defensive
64,2.56,,defensive
65,2.6,,defensive
66,2.64,,defensive
67,2.68,,defensive
68,2.72,,defensive
69,2.76,,defensive
70,2.8,,defensive
71,2.84,,defensive
72,2.88,,defensive
73,2.92,,defensive
74,2.96,,defensive
75,3.0,,defensive
76,3.04,,defensive
77,3.08,,defensive
78,3.12,,defensive
79,3.16,,defensive
80,3.2,,defensive
81,3.24,,defensive
82,3.28,,defensive
83,3.32,,defensive
84,3.36,,defensive
85,3.4,,defensive
86,3.44,,defensive
87,3.48,,defensive
88,3.52,,defensive
89,3.56,,defensive
90,3.6,,defensive
91,3.64,,defensive
92,3.68,,defensive
93,3.72,,defensive
94,3.76,,defensive
95,3.8,,defensive
96,3.84,,defensive
97,3.88,,defensive
98,3.92,,defensive
99,3.96,,defensive
100,4.0,,defensive
101,4.04,,defensive
102,4.08,,defensive
103,4.12,,defensive
104,4.16,,defensive
105,4.2,,defensive
106,4.24,,defensive
107,4.28,,defensive
108,4.32,,defensive
109,4.36,,defensive
110,4.4,,defensive
111,4.44,,defensive
112,4.48,,defensive
113,4.52,,defensive
114,4.56,,defensive
115,4.6,,defensive
116,4.64,,defensive
117,4.68,,defensive
118,4.72,,defensive
119,4.76,,defensive
120,4.8,,defensive
121,4.84,,defensive
122,4.88,,defensive
123,4.92,,defensive
124,4.96,,defensive
125,5.0,,defensive
126,5.04,,defensive
127,5.08,,defensive
128,5.12,,defensive
129,5.16,0.0,defensive
130,5.2,0.0,defensive
131,5.24,0.0,defensive
132,5.28,0.0,defensive
148,5.92,0.0,defensive
149,5.96,0.0,defensive
151,6.04,0.0,defensive
152,6.08,0.0,defensive
153,6.12,0.0,defensive
154,6.16,0.0,defensive
155,6.2,0.0,defensive
156,6.24,0.0,defensive
157,6.28,0.0,defensive
158,6.32,0.0,defensive
159,6.36,0.0,defensive
160,6.4,0.0,defensive
161,6.44,0.0,defensive
162,6.48,0.0,defensive
163,6.52,0.0,defensive
164,6.56,0.0,defensive
165,6.6,0.0,defensive
166,6.64,0.0,defensive
167,6.68,0.0,defensive
168,6.72,0.0,defensive
169,6.76,0.0,defensive
170,6.8,0.0,defensive
171,6.84,0.0,defensive
172,6.88,0.0,defensive
173,6.92,0.0,defensive
174,6.96,0.0,defensive
175,7.0,0.0,defensive
176,7.04,0.0,defensive
177,7.08,0.0,defensive
178,7.12,0.0,defensive
179,7.16,0.0,defensive
180,7.2,0.0,defensive
181,7.24,0.0,defensive
182,7.28,0.0,defensive
183,7.32,1.0,defensive
184,7.36,1.0,defensive
185,7.4,1.0,defensive
186,7.44,1.0,defensive
187,7.48,1.0,defensive
188,7.52,1.0,defensive
189,7.56,1.0,defensive
190,7.6,1.0,defensive
191,7.64,1.0,defensive
192,7.68,1.0,defensive
193,7.72,1.0,defensive
194,7.76,1.0,defensive
195,7.8,1.0,defensive
196,7.84,1.0,defensive
197,7.88,1.0,defensive
198,7.92,1.0,defensive
199,7.96,1.0,defensive
200,8.0,1.0,defensive
201,8.04,1.0,defensive
202,8.08,1.0,defensive
203,8.12,1.0,defensive
204,8.16,1.0,defensive
205,8.2,1.0,defensive
206,8.24,1.0,defensive
207,8.28,1.0,defensive
208,8.32,1.0,defensive
209,8.36,1.0,defensive
210,8.4,1.0,defensive
211,8.44,1.0,defensive
212,8.48,1.0,defensive
213,8.52,1.0,defensive
214,8.56,1.0,defensive
215,8.6,1.0,defensive
216,8.64,1.0,defensive
217,8.68,1.0,defensive
218,8.72,1.0,defensive
219,8.76,1.0,defensive
220,8.8,1.0,defensive
221,8.84,1.0,defensive
222,8.88,1.0,defensive
248,9.92,1.0,defensive
251,10.04,1.0,defensive
252,10.08,1.0,defensive
253,10.12,1.0,defensive
254,10.16,1.0,defensive
255,10.2,1.0,defensive
256,10.24,1.0,defensive
257,10.28,1.0,defensive
258,10.32,1.0,defensive
259,10.36,1.0,defensive
260,10.4,1.0,defensive
261,10.44,1.0,defensive
262,10.48,1.0,defensive
263,10.52,1.0,defensive
264,10.56,1.0,defensive
265,10.6,1.0,defensive
266,10.64,1.0,defensive
267,10.68,1.0,defensive
268,10.72,1.0,defensive
269,10.76,1.0,defensive
270,10.8,1.0,defensive
271,10.84,1.0,defensive
272,10.88,1.0,defensive
273,10.92,1.0,defensive
274,10.96,1.0,defensive
275,11.0,1.0,defensive
276,11.04,1.0,defensive
277,11.08,1.0,defensive
278,11.12,1.0,defensive
279,11.16,1.0,defensive
280,11.2,1.0,defensive
281,11.24,1.0,defensive
282,11.28,1.0,defensive
283,11.32,1.0,defensive
284,11.36,1.0,defensive
285,11.4,1.0,defensive
286,11.44,1.0,defensive
287,11.48,1.0,defensive
288,11.52,1.0,defensive
289,11.56,1.0,defensive
290,11.6,1.0,defensive
291,11.64,1.0,defensive
292,11.68,1.0,defensive
293,11.72,1.0,defensive
294,11.76,1.0,defensive
295,11.8,1.0,defensive
296,11.84,1.0,defensive
325,13.0,1.0,defensive
327,13.08,1.0,defensive
328,13.12,1.0,defensive
329,13.16,1.0,defensive
330,13.2,1.0,defensive
331,13.24,1.0,defensive
332,13.28,1.0,defensive
333,13.32,1.0,defensive
334,13.36,1.0,defensive
335,13.4,1.0,defensive
336,13.44,1.0,defensive
337,13.48,1.0,defensive
338,13.52,1.0,defensive
339,13.56,1.0,defensive
340,13.6,1.0,defensive
341,13.64,1.0,defensive
342,13.68,1.0,defensive
343,13.72,1.0,defensive
344,13.76,1.0,defensive
345,13.8,1.0,defensive
346,13.84,1.0,defensive
347,13.88,1.0,defensive
348,13.92,1.0,defensive
349,13.96,1.0,defensive
350,14.0,1.0,defensive
351,14.04,1.0,defensive
352,14.08,1.0,defensive
353,14.12,1.0,defensive
354,14.16,1.0,defensive
